순위,제목,가수
1,TOO BAD (feat. Anderson .Paak),G-DRAGON
2,모르시나요(PROD.로코베리),조째즈
3,like JENNIE,제니 (JENNIE)
4,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
5,Drowning,WOODZ
6,REBEL HEART,IVE (아이브)
7,나는 반딧불,황가람
8,Whiplash,aespa
9,오늘만 I LOVE YOU,BOYNEXTDOOR
10,APT.,로제 (ROSÉ)
11,ATTITUDE,IVE (아이브)
12,HAPPY,DAY6 (데이식스)
13,TAKE ME,G-DRAGON
14,toxic till the end,로제 (ROSÉ)
15,PO￦ER,G-DRAGON
16,Dash,PLAVE
17,내게 사랑이 뭐냐고 물어본다면,로이킴
18,미치게 그리워서,황가람
19,소나기,이클립스 (ECLIPSE)
20,RIZZ,PLAVE
21,I DO ME,KiiiKiii (키키)
22,Welcome to the Show,DAY6 (데이식스)
23,HOT,LE SSERAFIM (르세라핌)
24,Supernova,aespa
25,천상연,이창섭
26,DRIP,BABYMONSTER
27,한 페이지가 될 수 있게,DAY6 (데이식스)
28,Island,PLAVE
29,사랑은 늘 도망가,임영웅
30,Chroma Drift,PLAVE
31,12:32 (A to T),PLAVE
32,청춘만화,이무진
33,슬픈 초대장,순순희(지환)
34,UP (KARINA Solo),aespa
35,예뻤어,DAY6 (데이식스)
36,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
37,내 이름 맑음,QWER
38,우리들의 블루스,임영웅
39,The Chase,Hearts2Hearts (하츠투하츠)
40,Die With A Smile,Lady Gaga
41,Love wins all,아이유
42,온기,임영웅
43,모래 알갱이,임영웅
44,고민중독,QWER
45,너와의 모든 지금,재쓰비 (JAESSBEE)
46,How Sweet,NewJeans
47,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
48,Home,임영웅
49,청혼하지 않을 이유를 못 찾았어,이무진
50,"무제(無題) (Untitled, 2014)",G-DRAGON
51,첫 만남은 계획대로 되지 않아,TWS (투어스)
52,Sweet Dreams (feat. Miguel),j-hope
53,너의 모든 순간,성시경
54,Flower,오반(OVAN)
55,사랑인가 봐,멜로망스
56,비의 랩소디,임재현
57,다시 만날 수 있을까,임영웅
58,Mantra,제니 (JENNIE)
59,나는 아픈 건 딱 질색이니까,(여자)아이들
60,에피소드,이무진
61,Magnetic,아일릿(ILLIT)
62,이제 나만 믿어요,임영웅
63,DRAMA,G-DRAGON
64,Seven (feat. Latto) - Clean Ver.,정국
65,봄날,방탄소년단
66,Supersonic,프로미스나인
67,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
68,다정히 내 이름을 부르면,경서예지
69,I AM,IVE (아이브)
70,헤어지자 말해요,박재정
71,Do or Die,임영웅
72,무지개,임영웅
73,주저하는 연인들을 위해,잔나비
74,Small girl (feat. 도경수(D.O.)),이영지
75,Hype Boy,NewJeans
76,인사,범진
77,Polaroid,임영웅
78,London Boy,임영웅
79,미안해 미워해 사랑해,Crush
80,인생찬가,임영웅
81,Armageddon,aespa
82,Ditto,NewJeans
83,살기 위해서,순순희
84,MY LOVE(2025),이예은
85,Sticky,KISS OF LIFE
86,earthquake,지수 (JISOO)
87,취중고백,김민석
88,이렇게 좋아해 본 적이 없어요,BOYNEXTDOOR
89,해야 (HEYA),IVE (아이브)
90,Igloo,KISS OF LIFE
91,사막에서 꽃을 피우듯,우디 (Woody)
92,녹아내려요,DAY6 (데이식스)
93,Supernatural,NewJeans
94,number one girl,로제 (ROSÉ)
95,IBELONGIIU,G-DRAGON
96,연애편지,임영웅
97,너에게 닿기를,10CM
98,Not Like Us,Kendrick Lamar
99,GYRO-DROP,G-DRAGON
100,To. X,태연 (TAEYEON)
